Age,Gender,Facebook,Fish
26,1,0.964285714,0.833333333
30,1,0.928571429,0.961538462
23,2,0.730769231,0.892857143
25,1,0.92,0.888888889
23,2,0.962962963,0.923076923
25,1,0.666666667,0.695652174
27,1,0.76,0.925925926
24,1,0.851851852,0.964285714
24,2,0.928571429,1
23,2,0.846153846,0.96
26,2,0.923076923,0.785714286
26,2,0.892857143,0.888888889
24,2,0.6,0.727272727
23,1,0.928571429,0.851851852
24,2,0.80952381,0.777777778
24,2,0.925925926,0.807692308
23,2,0.714285714,0.956521739
24,2,0.785714286,0.666666667
23,2,0.857142857,0.964285714
23,1,1,1