Age,Gender,RT,Condition
26,1,0.964285714,Facebook
30,1,0.928571429,Facebook
23,2,0.730769231,Facebook
25,1,0.92,Facebook
23,2,0.962962963,Facebook
25,1,0.666666667,Facebook
27,1,0.76,Facebook
24,1,0.851851852,Facebook
24,2,0.928571429,Facebook
23,2,0.846153846,Facebook
26,2,0.923076923,Facebook
26,2,0.892857143,Facebook
24,2,0.6,Facebook
23,1,0.928571429,Facebook
24,2,0.80952381,Facebook
24,2,0.925925926,Facebook
23,2,0.714285714,Facebook
24,2,0.785714286,Facebook
23,2,0.857142857,Facebook
23,1,1,Facebook
26,1,0.833333333,Fish
30,1,0.961538462,Fish
23,2,0.892857143,Fish
25,1,0.888888889,Fish
23,2,0.923076923,Fish
25,1,0.695652174,Fish
27,1,0.925925926,Fish
24,1,0.964285714,Fish
24,2,1,Fish
23,2,0.96,Fish
26,2,0.785714286,Fish
26,2,0.888888889,Fish
24,2,0.727272727,Fish
23,1,0.851851852,Fish
24,2,0.777777778,Fish
24,2,0.807692308,Fish
23,2,0.956521739,Fish
24,2,0.666666667,Fish
23,2,0.964285714,Fish
23,1,1,Fish