stim,condition,block,correct_response
hot-cold,Related,A,yes
young-old,Related,A,yes
lion-tiger,Related,A,yes
wash-rinse,Related,A,yes
lost-found,Related,A,yes
dusk-dawn,Related,A,yes
lock-key,Related,A,yes
circle-round,Related,A,yes
plant-flower,Related,A,yes
army-soldier,Related,A,yes
tall-short,Related,A,yes
spider-web,Related,A,yes
hammer-nail,Related,A,yes
life-death,Related,A,yes
true-false,Related,A,yes
earth-ground,Related,A,yes
joy-happy,Related,A,yes
leaf-stem,Related,A,yes
pot-cold,Unrelated,A,yes
yours-old,Unrelated,A,yes
limp-tiger,Unrelated,A,yes
cash-rinse,Unrelated,A,yes
cost-found,Unrelated,A,yes
dish-dawn,Unrelated,A,yes
luck-key,Unrelated,A,yes
carves-round,Unrelated,A,yes
slant-flower,Unrelated,A,yes
till-short,Unrelated,A,yes
sing-queen,Unrelated,A,yes
glider-web,Unrelated,A,yes
farmer-nail,Unrelated,A,yes
purse-doctor,Unrelated,A,yes
wife-death,Unrelated,A,yes
tune-false,Related,A,yes
early-ground,Related,A,yes
boy-happy,Related,A,yes
rable-chait,Nonword,A,no
slom-wast,Nonword,A,no
yot-colp,Nonword,A,no
boung-oid,Nonword,A,no
fion-siger,Nonword,A,no
jash-ronse,Nonword,A,no
lont-gound,Nonword,A,no
dosk-dawl,Nonword,A,no
nock-kry,Nonword,A,no
bircle-rount,Nonword,A,no
plang-fluwer,Nonword,A,no
arsy-goldier,Nonword,A,no
talp-chort,Nonword,A,no
fing-sueen,Nonword,A,no
spiler-heb,Nonword,A,no
gammer-yail,Nonword,A,no
furse-loctor,Nonword,A,no
barth-groond,Nonword,A,no
man-wotar,Filler,A,no
rough-smoat,Filler,A,no
bread-bottin,Filler,A,no
bitter-sweax,Filler,A,no
green-gliss,Filler,A,no
large-smipo,Filler,A,no
bed-slorg,Filler,A,no
afraid-scobet,Filler,A,no
cabbage-lottir,Filler,A,no
door-wingew,Filler,A,no
moship-father,Filler,A,no
neibon-thread,Filler,A,no
brothog-sister,Filler,A,no
capsute-pill,Filler,A,no
boeh-ale,Filler,A,no
bosh-water,Filler,A,no
nirey-south,Filler,A,no
honip-bee,Filler,A,no
sconix-marble,Filler,A,no
porry-cent,Filler,A,no