W,NL,Class
kopse,5,PH
whefts,6,PH
medes,5,PH
rhaque,6,PH
popse,5,PH
ghoards,7,PH
fize,4,PH
proods,6,PH
wran,4,PH
phete,5,PH
tirmed,6,PH
psols,5,PH
spaised,7,PH
haks,4,PH
hepe,4,PH
clac,4,PH
rutt,4,PH
ghoasts,7,PH
gnone,5,PH
chaist,6,PH
wurnt,5,PH
rey,3,PH
wheaks,6,PH
fluick,6,PH
gode,4,PH
ghulfs,6,PH
wrync,5,PH
sean,4,PH
ghaffed,7,PH
wroons,6,PH
skamps,6,PH
spue,4,PH
chured,6,PH
graits,6,PH
phlukes,7,PH
berd,4,PH
cemed,5,PH
glos,4,PH
scoules,7,PH
grambs,6,PH
phlize,6,PH
whased,6,PH
ryle,4,PH
wure,4,PH
dropse,6,PH
pleets,6,PH
scadds,6,PH
dror,4,PH
orl,3,PH
stais,5,PH
kubed,5,PH
oad,3,PH
phley,5,PH
maise,5,PH
cuild,5,PH
wurds,5,PH
beaves,6,PH
nute,4,PH
rheed,5,PH
fite,4,PH
dwerged,7,NW
dod,3,NW
puct,4,NW
nonzed,6,NW
splothed,8,NW
pilms,5,NW
rurk,4,NW
phrauche,8,NW
fradge,6,NW
threbs,6,NW
phraives,8,NW
phlugged,8,NW
stoil,5,NW
twom,4,NW
whurfed,7,NW
psime,5,NW
spoints,7,NW
sleens,6,NW
kirm,4,NW
snafes,6,NW
wrurb,5,NW
cound,5,NW
thwieved,8,NW
chowl,5,NW
whotes,6,NW
wralph,6,NW
dunds,5,NW
dwut,4,NW
fumps,5,NW
knults,6,NW
thwams,6,NW
gladge,6,NW
parn,4,NW
tould,5,NW
shrarls,7,NW
gromes,6,NW
throrth,7,NW
scrait,6,NW
bince,5,NW
cupe,4,NW
wrutched,8,NW
snive,5,NW
sluped,6,NW
splicks,7,NW
yows,4,NW
waffs,5,NW
spreals,7,NW
trynes,6,NW
brud,4,NW
thelved,7,NW
rhourth,7,NW
tadds,5,NW
zowl,4,NW
thraves,7,NW
cem,3,NW
plolks,6,NW
thwilms,7,NW
thwups,6,NW
sturds,6,NW
erb,3,NW