correct_response,category,target,number_letters,block
[word_response],Word,bib,3,trial
[word_response],Word,lax,3,trial
[word_response],Word,dog,3,trial
[word_response],Word,ram,3,trial
[word_response],Word,leg,3,trial
[word_response],Word,rib,3,trial
[word_response],Word,them,4,trial
[word_response],Word,wary,4,trial
[word_response],Word,turn,4,trial
[word_response],Word,welt,4,trial
[word_response],Word,beak,4,trial
[word_response],Word,star,4,trial
[word_response],Word,step,4,trial
[word_response],Word,camp,4,trial
[word_response],Word,sine,4,trial
[word_response],Word,mean,4,trial
[word_response],Word,fane,4,trial
[word_response],Word,zone,4,trial
[word_response],Word,soft,4,trial
[word_response],Word,haul,4,trial
[word_response],Word,vain,4,trial
[word_response],Word,blow,4,trial
[word_response],Word,miss,4,trial
[word_response],Word,yelp,4,trial
[word_response],Word,worn,4,trial
[word_response],Word,flow,4,trial
[word_response],Word,cloak,5,trial
[word_response],Word,linen,5,trial
[word_response],Word,dusty,5,trial
[word_response],Word,break,5,trial
[word_response],Word,baron,5,trial
[word_response],Word,crock,5,trial
[word_response],Word,huzza,5,trial
[word_response],Word,coach,5,trial
[word_response],Word,blush,5,trial
[word_response],Word,ghost,5,trial
[word_response],Word,pupil,5,trial
[word_response],Word,allow,5,trial
[word_response],Word,globe,5,trial
[word_response],Word,brake,5,trial
[word_response],Word,chute,5,trial
[word_response],Word,stale,5,trial
[word_response],Word,wrack,5,trial
[word_response],Word,grove,5,trial
[word_response],Word,wharf,5,trial
[word_response],Word,quart,5,trial
[word_response],Word,scare,5,trial
[word_response],Word,audit,5,trial
[word_response],Word,patch,5,trial
[word_response],Word,order,5,trial
[word_response],Word,table,5,trial
[word_response],Word,tiger,5,trial
[word_response],Word,victim,6,trial
[word_response],Word,mutton,6,trial
[word_response],Word,amount,6,trial
[word_response],Word,tomato,6,trial
[word_response],Word,neuter,6,trial
[word_response],Word,chapel,6,trial
[word_response],Word,puddle,6,trial
[word_response],Word,thrill,6,trial
[word_response],Word,banana,6,trial
[word_response],Word,throat,6,trial
[word_response],Word,cuttle,6,trial
[word_response],Word,beauty,6,trial
[word_response],Word,supper,6,trial
[word_response],Word,orange,6,trial
[word_response],Word,racket,6,trial
[word_response],Word,ginger,6,trial
[word_response],Word,misery,6,trial
[word_response],Word,jargon,6,trial
[word_response],Word,breath,6,trial
[word_response],Word,square,6,trial
[word_response],Word,enigma,6,trial
[word_response],Word,scroll,6,trial
[word_response],Word,salary,6,trial
[word_response],Word,planet,6,trial
[word_response],Word,frenzy,6,trial
[word_response],Word,sleigh,6,trial
[word_response],Word,dollar,6,trial
[word_response],Word,punish,6,trial
[word_response],Word,misuse,6,trial
[word_response],Word,starch,6,trial
[word_response],Word,camera,6,trial
[word_response],Word,spirit,6,trial
[word_response],Word,belfry,6,trial
[word_response],Word,salute,6,trial
[word_response],Word,dungeon,7,trial
[word_response],Word,charter,7,trial
[word_response],Word,arbiter,7,trial
[word_response],Word,referee,7,trial
[word_response],Word,chuckle,7,trial
[word_response],Word,measure,7,trial
[word_response],Word,ceiling,7,trial
[word_response],Word,platter,7,trial
[word_response],Word,tarnish,7,trial
[word_response],Word,embrace,7,trial
[word_response],Word,newborn,7,trial
[word_response],Word,blunder,7,trial
[nonword_response],NW,dod,3,trial
[nonword_response],NW,cem,3,trial
[nonword_response],NW,erb,3,trial
[nonword_response],NW,puct,4,trial
[nonword_response],NW,kirm,4,trial
[nonword_response],NW,yows,4,trial
[nonword_response],NW,dwut,4,trial
[nonword_response],NW,parn,4,trial
[nonword_response],NW,cupe,4,trial
[nonword_response],NW,twom,4,trial
[nonword_response],NW,brud,4,trial
[nonword_response],NW,rurk,4,trial
[nonword_response],NW,zowl,4,trial
[nonword_response],NW,cound,5,trial
[nonword_response],NW,tadds,5,trial
[nonword_response],NW,tould,5,trial
[nonword_response],NW,psime,5,trial
[nonword_response],NW,stoil,5,trial
[nonword_response],NW,wrurb,5,trial
[nonword_response],NW,chowl,5,trial
[nonword_response],NW,bince,5,trial
[nonword_response],NW,pilms,5,trial
[nonword_response],NW,fumps,5,trial
[nonword_response],NW,dunds,5,trial
[nonword_response],NW,snive,5,trial
[nonword_response],NW,waffs,5,trial
[nonword_response],NW,whotes,6,trial
[nonword_response],NW,scrait,6,trial
[nonword_response],NW,trynes,6,trial
[nonword_response],NW,nonzed,6,trial
[nonword_response],NW,gromes,6,trial
[nonword_response],NW,fradge,6,trial
[nonword_response],NW,threbs,6,trial
[nonword_response],NW,sleens,6,trial
[nonword_response],NW,knults,6,trial
[nonword_response],NW,snafes,6,trial
[nonword_response],NW,thwups,6,trial
[nonword_response],NW,plolks,6,trial
[nonword_response],NW,sluped,6,trial
[nonword_response],NW,thwams,6,trial
[nonword_response],NW,wralph,6,trial
[nonword_response],NW,gladge,6,trial
[nonword_response],NW,sturds,6,trial
[nonword_response],NW,spoints,7,trial
[nonword_response],NW,spreals,7,trial
[nonword_response],NW,rhourth,7,trial
[nonword_response],NW,thraves,7,trial
[nonword_response],NW,thwilms,7,trial
[nonword_response],NW,whurfed,7,trial
[nonword_response],PH,rey,3,trial
[nonword_response],PH,orl,3,trial
[nonword_response],PH,oad,3,trial
[nonword_response],PH,haks,4,trial
[nonword_response],PH,wran,4,trial
[nonword_response],PH,hepe,4,trial
[nonword_response],PH,dror,4,trial
[nonword_response],PH,fize,4,trial
[nonword_response],PH,ryle,4,trial
[nonword_response],PH,spue,4,trial
[nonword_response],PH,wure,4,trial
[nonword_response],PH,fite,4,trial
[nonword_response],PH,berd,4,trial
[nonword_response],PH,phley,5,trial
[nonword_response],PH,medes,5,trial
[nonword_response],PH,gnone,5,trial
[nonword_response],PH,cemed,5,trial
[nonword_response],PH,wurds,5,trial
[nonword_response],PH,rheed,5,trial
[nonword_response],PH,kubed,5,trial
[nonword_response],PH,cuild,5,trial
[nonword_response],PH,wrync,5,trial
[nonword_response],PH,stais,5,trial
[nonword_response],PH,maise,5,trial
[nonword_response],PH,wurnt,5,trial
[nonword_response],PH,phete,5,trial
[nonword_response],PH,wroons,6,trial
[nonword_response],PH,skamps,6,trial
[nonword_response],PH,ghulfs,6,trial
[nonword_response],PH,graits,6,trial
[nonword_response],PH,whefts,6,trial
[nonword_response],PH,dropse,6,trial
[nonword_response],PH,chured,6,trial
[nonword_response],PH,proods,6,trial
[nonword_response],PH,phlize,6,trial
[nonword_response],PH,rhaque,6,trial
[nonword_response],PH,whased,6,trial
[nonword_response],PH,scadds,6,trial
[nonword_response],PH,grambs,6,trial
[nonword_response],PH,beaves,6,trial
[nonword_response],PH,fluick,6,trial
[nonword_response],PH,pleets,6,trial
[nonword_response],PH,chaist,6,trial
[nonword_response],PH,ghoards,7,trial
[nonword_response],PH,spaised,7,trial
[nonword_response],PH,ghoasts,7,trial
[nonword_response],PH,ghaffed,7,trial
[nonword_response],PH,phlukes,7,trial
[nonword_response],PH,scoules,7,trial